web-scraper-order,web-scraper-start-url,links,links-href,date,Brand,Name,Year,Kilometer,capacity,transmission,price,location
"1698941601-1","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2007 Daihatsu Xenia 1.0 Li MPV - Manual","https://www.mobil123.com/dijual/daihatsu-xenia-li-sumatera-utara-medan/12752054","Diperbarui pada: 02 October 2023","Daihatsu","Xenia","2007","100 - 105K km","7","Manual","Rp 85.000.000","Sumatera Utara"
"1698941604-2","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2020 Daihatsu Xenia 1.5 R DELUXE MPV - Manual","https://www.mobil123.com/dijual/daihatsu-xenia-r-deluxe-sumatera-utara-medan/12752072","Diperbarui pada: 02 October 2023","Daihatsu","Xenia","2020","20 - 25K km","7","Manual","Rp 175.000.000","Sumatera Utara"
"1698941607-3","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2013 BMW 320i 2.0 Sport Sedan - 2,0","https://www.mobil123.com/dijual/bmw-320i-sport-dki-jakarta-kelapa-gading/12752038","Diperbarui pada: 02 October 2023","BMW","3 Series","2013","40000 km","5","Automatic","Rp 280.000.000","DKI Jakarta"
"1698941610-4","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2015 Toyota Kijang Innova 2.0 Q MPV - Kondisi Istimewa Mul...","https://www.mobil123.com/dijual/toyota-kijang-innova-q-jawa-barat-bekasi-barat/12752094","Diperbarui pada: 02 October 2023","Toyota","Kijang Innova","2015","65 - 70K km","7","Manual","Rp 250.000.000","Jawa Barat"
"1698941613-5","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2020 Suzuki Jimny 1.5 Wagon - (4x4) Manual","https://www.mobil123.com/dijual/suzuki-jimny-sumatera-utara-medan/12752123","Diperbarui pada: 02 October 2023","Suzuki","Jimny","2020","10 - 15K km","4","Manual","Rp 410.000.000","Sumatera Utara"
"1698941616-6","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2018 Hyundai H-1 2.5 Royale MPV - Diesel","https://www.mobil123.com/dijual/hyundai-h-1-royale-dki-jakarta-kelapa-gading/12752142","Diperbarui pada: 02 October 2023","Hyundai","H-1","2018","55 - 60K km","8","Automatic","Rp 415.000.000","DKI Jakarta"
"1698941619-7","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2018 MINI Clubman 2.0 John Cooper Works ALL4 Wagon","https://www.mobil123.com/dijual/mini-clubman-john-cooper-works-all4-dki-jakarta-mampang-prapatan/12752143","Diperbarui pada: 02 October 2023","MINI","Clubman","2018","5 - 10K km","5","Automatic","Rp 795.000.000","DKI Jakarta"
"1698941622-8","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2018 Suzuki Ertiga 1.5 GL MPV - Manual","https://www.mobil123.com/dijual/suzuki-ertiga-gl-sumatera-utara-medan/12752170","Diperbarui pada: 02 October 2023","Suzuki","Ertiga","2018","70 - 75K km","7","Manual","Rp 165.000.000","Sumatera Utara"
"1698941625-9","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2022 Wuling EV Air ev Long Range Charging Pile Hatchback -...","https://www.mobil123.com/dijual/wuling-ev-air-ev-long-range-charging-pile-dki-jakarta-bintaro/12751382","Diperbarui pada: 02 October 2023","Wuling","EV","2022","0 - 5K km","4","Automatic","Rp 235.000.000","DKI Jakarta"
"1698941628-10","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2016 Hyundai i20 1.4 GL Hatchback - Automatic Full Origina...","https://www.mobil123.com/dijual/hyundai-i20-gl-dki-jakarta-mangga-dua/12751327","Diperbarui pada: 02 October 2023","Hyundai","i20","2016","55 - 60K km","5","Automatic","Rp 149.000.000","DKI Jakarta"
"1698941631-11","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2016 Toyota Kijang Innova 2.0 G MPV","https://www.mobil123.com/dijual/toyota-kijang-innova-g-dki-jakarta-mangga-dua/12752179","Diperbarui pada: 02 October 2023","Toyota","Kijang Innova","2016","90 - 95K km","8","Automatic","Rp 225.000.000","DKI Jakarta"
"1698941634-12","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2022 Suzuki Ertiga 1.5 GX Hybrid MPV - Matic","https://www.mobil123.com/dijual/suzuki-ertiga-gx-hybrid-sumatera-utara-medan-area/12752231","Diperbarui pada: 02 October 2023","Suzuki","Ertiga","2022","10 - 15K km","7","Automatic","Rp 235.000.000","Sumatera Utara"
"1698941637-13","https://www.mobil123.com/mobil-dijual/indonesia?type=used&page_size=50&page_number=360&sort=modification_date_search.desc","2013 Volkswagen Scirocco 2.0 R Hatchback - AT TYPE ASLI LO...","https://www.mobil123.com/dijual/volkswagen-scirocco-r-banten-gading-serpong/12750851","Diperbarui pada: 02 October 2023","Volkswagen","Scirocco","2013","20 - 25K km","4","Automatic","Rp 555.000.000","Banten"
